title,NER
Lamb Curry With Swiss Chard And Rice,"[""butter"", ""ground lamb"", ""Garam Masala"", ""tomato pur\u00e9e"", ""ginger walnut"", ""onions"", ""garlic"", ""flour"", ""beef stock"", ""yogurt"", ""chili powder"", ""paprika"", ""nuts"", ""basmati rice"", ""olive oil"", ""swiss chard"", ""vegetable stock"", ""tomato"", ""lime""]"
Pakistani Chicken Curry,"[""kilogram chicken"", ""oil"", ""onion"", ""tomatoes"", ""ginger"", ""garlic"", ""coriander leaves"", ""curry powder"", ""masala"", ""black pepper""]"
Indian Chicken Curry - Village & Rustic Style (Grandma'S Recipe),"[""chicken"", ""onions"", ""pepper"", ""TS of"", ""garam masala"", ""cloves"", ""cardamom"", ""sweet pepper"", ""cinnamon"", ""cinnamon powder"", ""garlic"", ""red chilli"", ""ginger"", ""tomatoes""]"
Beef Massaman Curry,"[""oil"", ""onion"", ""potatoes"", ""curry paste"", ""lime leaves"", ""coconut cream"", ""beef stock"", ""rice""]"
Massaman Beef Curry,"[""peanut oil"", ""beef"", ""brown onion"", ""garlic"", ""fresh ginger"", ""ground cardamom"", ""cinnamon"", ""chicken stock"", ""curry sauce"", ""fish sauce"", ""potatoes"", ""coconut milk"", ""jasmine rice"", ""cilantro"", ""peanuts"", ""red chili pepper""]"
Okra Curry (Bhindi Ki Sabji),"[""okra"", ""sunflower oil"", ""turmeric powder"", ""chilli powder"", ""coriander powder"", ""mango"", ""coconut"", ""salt"", ""corainder""]"
"Salmon Papillotes With Honey, Curry And Ginger","[""salmon"", ""cr\u00e8me fraiche"", ""ginger powder"", ""curry"", ""honey"", ""butter"", ""onions"", ""salt"", ""pepper""]"
Squid Curry,"[""onion"", ""garlic"", ""red pepper"", ""coriander"", ""coconut milk"", ""curry powder"", ""olive oil"", ""salt""]"
Dried Seafood Pate With Curry And Chives,"[""seafood"", ""chive stems chopped"", ""mayonnaise"", ""curry"", ""mustard"", ""garlic""]"
Green Prawn Curry,"[""kilogram"", ""garlic"", ""ginger piece"", ""onions"", ""oil"", ""ground coriander"", ""fennel seeds"", ""mustard seeds"", ""coconut cream"", ""coriander""]"
Indian Rice Curry,"[""olive oil"", ""onion"", ""apple"", ""curry powder"", ""cayenne"", ""brown rice"", ""chick peas"", ""lemon juice"", ""salt"", ""freshly ground black pepper""]"
Thai Green Chicken Curry,"[""chicken"", ""coconut milk"", ""green curry"", ""fish sauce alternatively"", ""brown sugar"", ""coriander"", ""lime"", ""vegetable oil""]"
Thai Fish Curry,"[""basmati rice"", ""oil"", ""onion"", ""carrots"", ""red curry"", ""coconut milk"", ""vegetable bouillon"", ""broccoli"", ""soy sauce"", ""fish fillet"", ""fresh cilantro""]"
"Vegan Curry, Indonesian Style","[""candlenuts"", ""coriander seeds"", ""cubeb"", ""turmeric"", ""cumin"", ""lemon grass"", ""cinnamon"", ""anises"", ""cloves"", ""black cardamom"", ""ginger"", ""galangal"", ""curry"", ""lime leaves"", ""bay leaves"", ""garlic"", ""thai chili peppers"", ""aubergine"", ""oyster mushrooms"", ""onion"", ""coconut milk"", ""Freshly ground black pepper"", ""Salt"", ""Vegetable oil""]"
Yellow Fish Curry,"[""vegetable oil"", ""white onion"", ""yellow curry"", ""light coconut milk"", ""winter"", ""white fish"", ""snow peas"", ""fresh cilantro"", ""jasmine rice"", ""nuts"", ""cucumber"", ""tomato wedges"", ""bean sprouts""]"
Chickpea Curry With Rice,"[""olive oil"", ""onion"", ""curry powder"", ""tomatoes"", ""chickpeas"", ""green beans"", ""chicken stock"", ""parsley"", ""rice""]"
Coconut-Curry Chicken,"[""chicken breasts"", ""curry powder"", ""vegetable oil"", ""onions"", ""red bell pepper"", ""clove garlic"", ""coconut milk"", ""Chicken Flavor"", ""fresh cilantro""]"
Chicken And Zucchini Curry,"[""chicken breasts"", ""lemon juicd"", ""parsley"", ""garlic"", ""chives"", ""soy sauce"", ""allspice"", ""curry"", ""zucchini"", ""tomatoes"", ""onion"", ""salt"", ""ground black pepper""]"
Burmese Chicken Curry,"[""vegetable oil"", ""onion"", ""garlic"", ""anise"", ""ground turmeric"", ""ground cardamom"", ""red chili pepper"", ""chicken"", ""coconut milk"", ""sweet potatoes"", ""frozen peas"", ""fish sauce"", ""cilantro"", ""rice""]"
Mild Vegetable Curry,"[""oil"", ""onions"", ""garlic"", ""curry paste"", ""potatoes"", ""carrots"", ""cauliflower"", ""water"", ""frozen peas"", ""salt"", ""cream"", ""coriander""]"
Honey Curry Chicken,"[""butter"", ""honey"", ""prepared mustard"", ""salt"", ""curry powder"", ""chicken""]"
Coorg Pandi Curry ,"[""Coriander seeds"", ""Pepper"", ""Cumin"", ""Cinnamon"", ""Onion"", ""garlic"", ""green chilly"", ""Salt"", ""Turmeric"", ""Chilli powder"", ""Curry"", ""Masala""]"
Breast Of Chicken Curry,"[""chicken breasts skinned"", ""cream of chicken soup"", ""sour cream"", ""almonds"", ""butter butter"", ""curry powder"", ""mushrooms""]"
Caribbean Chicken Curry,"[""chicken"", ""apples"", ""grapes"", ""raisins"", ""red bell pepper"", ""carrots"", ""curry sauce your"", ""salt"", ""pepper"", ""brown rice""]"
"Curry Chicken With Coconut, Mushrooms And Rice (Thai Style)","[""chicken breasts"", ""onion"", ""fresh mushrooms"", ""basmati rice"", ""handful"", ""coconut milk"", ""clove garlic"", ""olive oil"", ""salt"", ""laurel leaf""]"
Easy Curry Lentil Burgers ,"[""lentils cooked"", ""non"", ""spice""]"
Red Chicken Curry With Rice,"[""cinnamon"", ""black peppercorns"", ""nutmeg"", ""coriander seeds"", ""cumin seeds"", ""garlic"", ""onion"", ""ginger"", ""water"", ""red chilies"", ""tomato paste"", ""oil"", ""coconut milk"", ""heavy cream"", ""chicken"", ""cornstarch"", ""chicken"", ""oyster sauce"", ""lemon juice""]"
Lentils Curry,"[""red lentils"", ""shallots"", ""brown onion"", ""centimeters ginger"", ""cumin seeds"", ""mustard seeds"", ""green chili"", ""turmeric powder"", ""cumin powder"", ""coriander powder"", ""curry"", ""tomato sauce"", ""coriander""]"
Sauteed Vegetables With Curry,"[""cabbage"", ""carrots"", ""leek"", ""olive oil"", ""garlic"", ""salt"", ""milk"", ""curry powder"", ""golden raisins""]"
Yellow Fish Curry,"[""red pepper"", ""onions"", ""ground turmeric"", ""fish sauce"", ""garlic"", ""red chilis"", ""coconut milk"", ""fish stock"", ""palm sugar"", ""lime"", ""swordfish steaks"", ""oil"", ""beans"", ""tomato"", ""onion"", ""mint""]"
Madras Curry Mussels,"[""mussels"", ""onions"", ""garlic"", ""butter"", ""white wine"", ""cream"", ""curry powder""]"
Mushroom Mutter (Mushroom & Green Pea Curry),"[""frozen peas"", ""mushrooms"", ""onions"", ""garlic"", ""tomatoes"", ""ground turmeric"", ""cumin"", ""chili powder"", ""vegetable oil"", ""fresh coriander""]"
Sausage Curry With Herbed Yogurt,"[""oil"", ""pork sausages"", ""onion"", ""garlic"", ""curry"", ""chicken stock"", ""chutney fruit"", ""cream"", ""tomatoes"", ""baby spinach"", ""serve"", ""plain yogurt"", ""cilantro""]"
Beet Root Curry,"[""onion"", ""garlic"", ""tomatoes"", ""chilli powder [adjust"", ""turmeric powder"", ""coriander powder"", ""mango powder [adjust"", ""salt"", ""oil"", ""sugar"", ""water""]"
Vegetable And Lamb Curry,"[""butter"", ""vegetable oil"", ""onion"", ""garlic"", ""red curry"", ""butternut"", ""tomatoes"", ""coconut cream"", ""green beans"", ""cilantro""]"
Orange And Cashew Curry,"[""onion"", ""garlic"", ""ginger"", ""olive oil"", ""chicken breasts"", ""garam masala"", ""salt"", ""orange"", ""heavy cream"", ""cashews unsalted"", ""cilantro""]"
Bread With Brie And Pear And Madras Curry Compote,"[""flour"", ""yeast"", ""malt"", ""water"", ""salt"", ""brie"", ""pear"", ""compote""]"
Mackerel Curry,"[""fish Mackerel"", ""turmeric powder"", ""onion"", ""garlic"", ""seeds methi"", ""tomato"", ""coriander dhania powder"", ""tamarind paste"", ""water"", ""salt"", ""vegetable oil"", ""green chili"", ""chili powder""]"
Lamb Curry Madras,"[""lamb shoulder"", ""salt"", ""freshly ground black pepper"", ""vegetable oil"", ""onions"", ""garlic"", ""black mustard seeds"", ""Garam Masala"", ""turmeric"", ""ground cardamom"", ""ground cumin"", ""red pepper"", ""lamb stock Brown"", ""basmati rice""]"
Curry Yellow Split Peas With Rice,"[""onion"", ""baby carrots"", ""garlic"", ""coconut milk"", ""Italian parsley"", ""stalks celery"", ""with seeds"", ""chicken broth"", ""olive oil"", ""curry powder"", ""brown sugar"", ""garlic"", ""ground cumin"", ""salt"", ""black pepper"", ""paprika"", ""red pepper"", ""turmeric""]"
Grilled Curry Shrimp,"[""Jif Creamy"", ""mustard"", ""curry powder"", ""garlic"", ""cilantro fresh"", ""shrimp"", ""Spray"", ""red pepper"", ""jasmine rice""]"
Super Easy Vegetarian And Vegan Chickpea And Spinach Curry Recipe ,"[""chickpeas"", ""onion"", ""tomato"", ""garlic"", ""oil"", ""curry powder"", ""paprika powder"", ""salt"", ""black pepper"", ""white pepper"", ""handful spinach I"", ""tomato pure"", ""sugar"", ""white wine vinegar"", ""rice""]"
Turkey Curry,"[""flour"", ""Chicken"", ""unsalted butter"", ""pineapple"", ""apples"", ""banana"", ""onion"", ""curry powder"", ""coconut"", ""cream optional"", ""cold"", ""coriander""]"
Turkey Curry,"[""milk"", ""coconut"", ""turkey"", ""salt"", ""ground black pepper"", ""garlic"", ""olive oil"", ""onion"", ""bay leaf"", ""red pepper"", ""tomato"", ""curry""]"
"Lamb, Spinach And Potato Curry","[""vegetable oil"", ""lamb"", ""onions"", ""cooking"", ""chicken stock"", ""potatoes"", ""baby spinach""]"
Curry Leaves Chutney,"[""urad dal"", ""chana dal"", ""asafoetida""]"
Turkey Stew With Japanese Curry Flavour,"[""stew"", ""potatoes"", ""leek"", ""garam masala"", ""curry roux japanese S&B"", ""oil seeds"", ""water""]"
Coconut Curry Noodle Bowl,"[""olive oil"", ""garlic"", ""ginger"", ""red curry"", ""carrots"", ""red bell pepper"", ""vegetable stock"", ""soy sauce"", ""coconut milk"", ""rice vermicelli noodles"", ""lime juiced"", ""scallions""]"
Easy Chicken Curry,"[""oil"", ""red curry"", ""chicken"", ""coconut milk"", ""lime"", ""red pepper"", ""rice"", ""broccoli florets"", ""green beans"", ""fish sauce"", ""lime juiced"", ""chicken"", ""bean sprouts"", ""cilantro""]"
Green Chicken Curry,"[""oil"", ""onion"", ""green curry"", ""chicken stock"", ""coconut milk"", ""rotisserie chicken"", ""green beans"", ""zucchini"", ""cilantro"", ""rice""]"
Prawn Curry,"[""oil"", ""onion"", ""ginger"", ""garlic"", ""red curry"", ""tomatoes"", ""coconut cream"", ""lime juiced"", ""chili sauce +"", ""king prawns"", ""baby spinach"", ""cilantro"", ""jasmine rice""]"
Tangy Tamarind Fish Curry,"[""basa fish"", ""tamarind paste"", ""jaggery"", ""water"", ""coconut oil"", ""mustard seeds"", ""curry"", ""ginger chopped"", ""chilli flakes /chilli powder"", ""salt""]"
Thai Curry,"[""oil"", ""curry red"", ""chicken"", ""fish"", ""onion"", ""coconut milk""]"
Slow Cooker Sri Lankan Inspired Sweet Potato & Chickpea Curry,"[""garlic"", ""shallots Banana"", ""green chilli"", ""fresh ginger root"", ""red bell pepper"", ""stalk lemongrass"", ""lime"", ""sweet potato"", ""chickpeas Cooked"", ""cooking oil"", ""ground black pepper"", ""vegetable stock"", ""coconut milk"", ""frozen spinach"", ""brown basmati rice""]"
Baby Turnip And Scallion Curry,"[""chickpea flour"", ""chilli powder"", ""turmeric"", ""cumin"", ""baking powder"", ""sunflower oil"", ""salt"", ""sunflower oil"", ""mustard seeds"", ""cumin seeds"", ""asafoetida"", ""turnips washed"", ""onions"", ""tomato"", ""water"", ""kasoori methi"", ""lemon""]"
Turnip Curry,"[""oil"", ""fennel seeds"", ""salt"", ""turmeric"", ""cumin ground"", ""water"", ""red chile"", ""cilantro""]"
Slow Cooker Lamb And Pepper Curry ,"[""I"", ""Onion"", ""ginger"", ""garlic"", ""seeds"", ""fennel seeds"", ""cumin"", ""turmeric"", ""coriander"", ""brown sugar"", ""salt"", ""green chilli pepper"", ""bell peppers"", ""tomatoes""]"
Brined ~ Roast Curry Chicken,"[""chicken"", ""bay leaves"", ""celery Dashes"", ""curry Dashes"", ""cinnamon"", ""brown sugar"", ""lemon"", ""vinegar"", ""garlic"", ""salt"", ""honey"", ""rice wine vinegar"", ""salt"", ""fresh ground black pepper"", ""curry ground"", ""cinnamon""]"
Cabbage Curry,"[""coconut oil"", ""cabbage"", ""onion"", ""tomatoes"", ""salt"", ""turmeric powder"", ""red chili powder"", ""water"", ""curry"", ""cilantro"", ""coconut oil""]"
Sweet Potato And Chicken Curry,"[""Cuisine"", ""red onion"", ""chicken"", ""tomatoes"", ""curry"", ""sweet potatoes"", ""natural yogurt""]"
Lemon Curry Roasted Chickpeas,"[""chickpeas also"", ""olive oil"", ""lemon juice"", ""lemon zest"", ""curry powder"", ""salt""]"
"Lamb & Apricot Curry {Aip, Paleo, Whole 30}","[""olive oil"", ""white onions"", ""garlic"", ""turmeric"", ""salt"", ""fresh ginger"", ""carrots"", ""cilantro / corriander leaf"", ""coconut milk"", ""broth"", ""lime"", ""apricots"", ""lamb stew meat"", ""frozen spinach""]"
Salmon With Coriander Coconut Milk Curry,"[""salmon"", ""basmati rice"", ""sesame oil"", ""turmeric"", ""garam masala"", ""curry powder"", ""light coconut milk"", ""lemon"", ""fresh coriander"", ""fish sauce"", ""mushrooms"", ""asparagus""]"
Indian Bhaji Curry Rolls,"[""potatoes"", ""carrots"", ""cauliflower"", ""green beans"", ""vegetable oil"", ""onion"", ""green pepper"", ""garlic"", ""Garam Masala"", ""tomatoes"", ""bread rolls round crusty"", ""lemon juice"", ""cilantro coarsely"", ""mango""]"
Curry Vegetables,"[""vegetable stock"", ""onion"", ""garlic"", ""ginger"", ""curry powder"", ""cumin"", ""cayenne"", ""tomatoes"", ""plain yogurt"", ""mushrooms"", ""red pepper"", ""carrots"", ""zucchini"", ""garbanzo beans""]"
Ground Beef Sweet Potato Curry,"[""sweet potatoes"", ""onions"", ""tomatoes"", ""ground beef"", ""coconut milk"", ""garlic"", ""Garam Masala"", ""coriander"", ""paprika"", ""cayenne"", ""salt"", ""pepper"", ""frozen peas""]"
Chicken Thai Curry,"[""Cuisine"", ""ginger piece"", ""red chilli"", ""spring onions"", ""mushrooms mixed"", ""chicken breasts"", ""coconut creamed"", ""milk"", ""tamarind paste"", ""lime"", ""soy sauce"", ""mangetout"", ""fresh coriander leaves"", ""noodles""]"
Chicken Curry In Coconut Milk,"[""chicken breasts"", ""curry powder"", ""garlic"", ""bay leaf"", ""olive oil"", ""onion"", ""cinnamon"", ""coconut milk"", ""apple"", ""coriander"", ""lemon juice"", ""basmati rice"", ""arugula""]"
Malaysian Chicken Curry In Coconut Milk,"[""chicken"", ""chili powder"", ""curry powder"", ""paprika"", ""cumin"", ""garlic"", ""onions"", ""tomatoes"", ""cilantro"", ""oil"", ""bay leaf"", ""potatoes"", ""coconut milk"", ""water"", ""salt"", ""pepper""]"
Creepy Coconut Curry For Halloween,"[""vegetable oil"", ""chicken"", ""onion"", ""red curry"", ""sweet potato"", ""coconut milk"", ""chicken stock"", ""broccoli"", ""pineapple"", ""fish sauce"", ""brown sugar"", ""lime juice"", ""tomatoes"", ""basil""]"
Bitter Melon Curry,"[""bitter"", ""onion"", ""salt"", ""chilli pepper"", ""garlic"", ""curry spices"", ""vegetable oil""]"
Yam Curry,"[""yams Tender"", ""salt"", ""vegetable oil"", ""ginger root"", ""garlic"", ""vegetable oil"", ""cumin seeds"", ""green cardamoms"", ""bay leaf"", ""peppercorns"", ""cinnamon"", ""turmeric"", ""chili powder"", ""ground coriander"", ""Garam Masala"", ""salt"", ""tomatoes"", ""tomatoes"", ""yogurt"", ""water"", ""coriander"", ""cilantro""]"
Spicy Yellow Lentil Potato Curry,"[""grapeseed oil"", ""mustard seeds"", ""peppers"", ""moong dal"", ""asafoetida"", ""ginger"", ""white onion"", ""curry"", ""ground turmeric"", ""salt"", ""tomato paste"", ""potatoes"", ""cilantro"", ""lime""]"
Indian Curry,"[""yellow onion"", ""chicken"", ""chicken broth"", ""coconut milk"", ""corn"", ""olive oil"", ""curry"", ""chili flakes""]"
Indian Beef And Green Bean Curry,"[""curry paste"", ""mustard seeds"", ""ground beef"", ""tomatoes"", ""green beans"", ""salad"", ""pappadums"", ""carrots"", ""Orange"", ""mint"", ""currants""]"
Quick And Easy Duck Curry,"[""duck Peking"", ""vegetable oil"", ""red onion"", ""garlic"", ""red chili"", ""red curry"", ""peanut butter"", ""coconut milk"", ""chicken stock"", ""lime juice"", ""fish sauce"", ""cilantro""]"
Vegetarian Green Curry,"[""coconut milk"", ""garlic"", ""fish sauce"", ""texturized vegetable protein"", ""curry"", ""green chili peper"", ""lemon grass table"", ""eggplants"", ""handful basil""]"
Shrimp Curry With Thai Jasmine Rice,"[""kilogram shrimp"", ""olive oil"", ""onion"", ""mixed spices sachet"", ""tomatoes"", ""salt"", ""milliliters coconut milk"", ""thai jasmine rice"", ""water"", ""coriander leaves fresh""]"
Kashmiri Lamb Curry,"[""plain yogurt"", ""saffron threads"", ""ground almonds"", ""ghee"", ""onions"", ""simmer"", ""baby spinach"", ""lemon juiced"", ""bread"", ""rice""]"
Tropical Fish Curry,"[""kilogram"", ""coconut milk"", ""mango"", ""pepper"", ""basil"", ""oil"", ""onion"", ""garlic"", ""ginger"", ""green cardamom"", ""cinnamon"", ""cloves"", ""cumin"", ""red chili"", ""red chili powder"", ""turmeric"", ""salt"", ""lime juice"", ""tomato paste"", ""water""]"
Hake Curry,"[""olive oil"", ""bacon"", ""hake fillets"", ""salt"", ""garlic"", ""mushrooms washed"", ""turmeric"", ""curry powder"", ""cilantro"", ""light cream""]"
Homemade Curry Powder,"[""coriander seeds Ground"", ""turmeric"", ""cumin"", ""black peppercorn"", ""red chile"", ""cardamom seeds"", ""cinnamon"", ""whole cloves"", ""ground ginger"", ""curry"", ""curry powder""]"
Shrimps In Coconut Curry Milk,"[""coconut milk"", ""lime juice"", ""curry powder"", ""chilli flakes"", ""ground black pepper"", ""shrimp"", ""basil""]"
Shrimp Coconut Curry In A Hurry,"[""coconut milk"", ""lime juice"", ""honey"", ""curry powder"", ""ginger"", ""garlic"", ""shrimp"", ""ground black pepper"", ""coconut oil"", ""red bell pepper""]"
Coca Cola Chicken Curry,"[""chicken"", ""onions"", ""cumin powder"", ""coriander powder"", ""tamarind paste"", ""ginger paste"", ""garlic"", ""cinnamon"", ""cloves"", ""paprika"", ""coca-cola"", ""vegetable oil"", ""single cream"", ""yoghurt natural"", ""salt"", ""fresh coriander""]"
Tuna Curry,"[""tuna"", ""mushrooms"", ""bacon"", ""milk"", ""curry"", ""parsley sprigs"", ""olive oil"", ""salt""]"
Tuna Curry,"[""butter"", ""onion"", ""red bell pepper"", ""curry powder"", ""vegetable bouillon"", ""brine"", ""milk"", ""cornstarch"", ""baby spinach"", ""lemon juiced"", ""onions""]"
Tuna Curry,"[""onion"", ""garlic"", ""olive oil"", ""curry powder Indian"", ""indian saffron turmeric"", ""coriander powder"", ""tomatoes"", ""tuna"", ""coconut milk"", ""salt"", ""fresh coriander""]"
Kofat Curry/Meat Ball Curry,"[""kilogram"", ""oil"", ""onion"", ""garlic"", ""ginger"", ""coriander leaves"", ""salt"", ""chilli powder"", ""haldi"", ""Garam Masala"", ""cumin"", ""coriander powder""]"
Keema Curry,"[""onion"", ""garlic"", ""curry powder"", ""fresh coriander"", ""ground lamb"", ""tomatoes"", ""frozen peas"", ""peanut corn oil"", ""salt""]"
Salmon Curry,"[""oil"", ""salmon fillet"", ""onion"", ""red chili pepper"", ""carrots"", ""onions"", ""curry powder"", ""vegetable stock"", ""cornstarch""]"
Quick Chicken Curry,"[""chicken breast"", ""onion"", ""garlic"", ""ground ginger"", ""ground cinnamon"", ""bay leaves"", ""cloves"", ""cardamom pods"", ""red chili peppers"", ""ground coriander"", ""garam masala"", ""turmeric"", ""carrot"", ""frozen peas"", ""pepper"", ""lemon"", ""oil"", ""salt""]"
Chicken Curry With Coconut Milk And Greek Yogurt,"[""peanut oil"", ""chicken"", ""onions"", ""garlic"", ""ginger"", ""flour"", ""curry"", ""saffron"", ""cumin powdered"", ""pepper"", ""tomato"", ""red pepper"", ""coconut milk"", ""greek yogurt"", ""chicken"", ""spinach leaves"", ""basil"", ""greek yogurt"", ""salt"", ""ground black pepper"", ""rice""]"
"Curry Naan With Avocado, Tomato & Basil","[""naan"", ""basil"", ""tomatoes"", ""oil vegetable"", ""curry powder"", ""avocado""]"
Aarti’S Green Minty Curry Chicken,"[""cilantro"", ""red onion"", ""garlic"", ""ginger"", ""salt"", ""freshly ground black pepper"", ""chicken"", ""olive oil"", ""shallots"", ""ground cumin"", ""ground coriander"", ""Garam Masala"", ""ground turmeric"", ""chicken"", ""malt vinegar"", ""milk yogurt"", ""basmati rice"", ""bread""]"
Coconut Prawn Curry,"[""onion"", ""coconut milk"", ""turmeric powder"", ""fennel seeds"", ""Garam Masala"", ""curry"", ""salt"", ""sugar"", ""chilli"", ""garlic"", ""ginger"", ""salt""]"
Thai Green Curry,"[""olive oil"", ""onion"", ""bell pepper"", ""lemon grass"", ""ginger"", ""green curry"", ""unsweetened coconut milk"", ""chicken broth"", ""chicken breast"", ""salt"", ""french beans"", ""mushrooms"", ""basil"", ""cilantro"", ""rice"", ""coriander seeds"", ""cumin seeds"", ""black peppercorns for"", ""onion"", ""green chilies"", ""garlic"", ""handful cilantro"", ""ginger"", ""water""]"
Massaman Curry : Slow Cooker,"[""chicken"", ""curry paste"", ""coconut milk"", ""water"", ""curry"", ""fish sauce"", ""brown sugar"", ""tamarind pulp"", ""onion"", ""peanut butter"", ""peanut roasted""]"
Thai Red Chicken Curry Recipe,"[""stalk lemongrass"", ""cooking oil"", ""curry paste Red Thai"", ""fish sauce"", ""salt"", ""basil"", ""chili thai"", ""coconut milk"", ""lime leaves"", ""soy"", ""rice vinegar""]"
Caribbean Curry,"[""vegetable oil"", ""chicken"", ""onions"", ""garlic"", ""fresh ginger"", ""pineapple"", ""cauliflower"", ""curry powder"", ""World"", ""fresh cilantro"", ""brown rice"", ""salt"", ""ground black pepper""]"
Jamaican Goat Curry,"[""coriander seeds"", ""cumin seeds"", ""fenugreek seeds"", ""ground turmeric"", ""ground allspice"", ""cayenne pepper"", ""cinnamon sticks"", ""anise"", ""goat"", ""onion"", ""potatoes"", ""onion"", ""tomato"", ""chilli"", ""black pepper"", ""Cuisine"", ""garlic"", ""coconut milk"", ""water"", ""cube"", ""lime""]"
"Chickpea, Mushroom And Sweetcorn Curry","[""chickpeas"", ""tomatoes"", ""mushrooms"", ""sweetcorn"", ""curry powder"", ""parsley"", ""black pepper"", ""coconut"", ""basmati rice""]"
Shaadiwale Matar Mushroom- Mushroom Peas Spicy Curry,"[""Green peas"", ""Button mushrooms"", ""Tomato puree"", ""Onion"", ""Turmeric"", ""Ginger-garlic"", ""Coriander powder"", ""Cumin"", ""Red chilli powder"", ""Salt"", ""milk"", ""Garam masala""]"
Oxtail Curry!,"[""flour"", ""kosher salt"", ""black pepper"", ""ground coriander"", ""ground cumin"", ""ground allspice"", ""ground turmeric"", ""oil"", ""onion"", ""carrots"", ""garlic"", ""ginger"", ""beef broth"", ""coconut milk"", ""tomatoes"", ""cinnamon"", ""pods"", ""bay leaves"", ""fresh cilantro"", ""cayenne pepper""]"
Madras Curry,"[""chicken"", ""vegetable oil"", ""onion purse"", ""garlic puree"", ""ginger purse"", ""tomatoes"", ""ground almond"", ""salt"", ""fresh coriander"", ""Garam Masala"", ""red chillies"", ""ground black pepper"", ""chilli powder"", ""cumin seeds white"", ""fenugreek seeds"", ""turmeric"", ""green cardamoms""]"
Aromatic Coconut Beef Curry,"[""shiitake mushrooms"", ""boiling water"", ""vegetable oil"", ""onions"", ""garlic"", ""turmeric"", ""cinnamon sticks"", ""coconut cream"", ""fish sauce"", ""brown sugar"", ""peanuts""]"
Curry Shrimp,"[""shrimp"", ""curry sauce"", ""peas""]"
Green Curry With Fish,"[""vegetable oil"", ""red onion"", ""green curry"", ""coconut cream +"", ""coconut milk"", ""tomatoes"", ""white"", ""cilantro"", ""jasmine rice""]"
Slow-Cooker Sunday! Savory Japanese Beef Curry!,"[""curry sauce"", ""water"", ""beef"", ""onion"", ""carrots"", ""potato"", ""broccoli"", ""salt""]"
Goan Prawns Curry,"[""prawns"", ""tiny"", ""coconut milk"", ""onions"", ""curry"", ""oil"", ""green chillies"", ""water"", ""turmeric"", ""salt"", ""also"", ""red chillies"", ""ginger"", ""garlic"", ""coriander seeds"", ""cumin seeds"", ""black pepper"", ""tamarind paste""]"
Thai Green Curry With Fish And Noodles,"[""vegetable oil"", ""garlic"", ""ginger"", ""green chili peppers"", ""ground cumin"", ""ground coriander"", ""shrimp paste"", ""coconut milk"", ""fish stock"", ""fish sauce"", ""brown sugar"", ""white"", ""red pepper"", ""green beans"", ""lime juiced"", ""rice noodles"", ""thai basil""]"
Chicken Breast With Tomato Curry And Noodles,"[""chicken"", ""sunflower oil"", ""noodles"", ""onion"", ""banana"", ""flour"", ""curry powder"", ""tomato paste"", ""vegetable stock"", ""apple juice"", ""basil""]"
Cauliflower And Green Pea Curry,"[""butter"", ""onion"", ""garlic"", ""fresh ginger"", ""curry paste"", ""cream"", ""cauliflower"", ""tomatoes"", ""frozen peas"", ""yogurt"", ""eggs"", ""cilantro""]"
Japanese Pork Curry Bowl,"[""pork loin"", ""olive oil"", ""cumin"", ""unsalted butter"", ""carrots"", ""onion"", ""celery"", ""garlic"", ""ginger"", ""gold potatoes"", ""ketchup"", ""paprika"", ""red miso"", ""pork stock"", ""bay leaf"", ""curry"", ""rice vinegar"", ""salt"", ""pepper"", ""steamed white rice""]"
Curry Coconut Chickpea Dish,"[""chickpeas cooked"", ""water"", ""coconut milk"", ""red onion"", ""curry powder"", ""garlic"", ""olive oil"", ""cayenne pepper"", ""salt""]"
Thai Green Curry With Pork,"[""thai green curry paste"", ""coconut cream"", ""lime"", ""green chilies"", ""eggplants"", ""fish sauce"", ""lime juiced"", ""brown sugar"", ""pork tenderloin"", ""zucchini"", ""basil"", ""cilantro"", ""rice"", ""scallions""]"
Thai Red Curry With Vegetables,"[""brown Jasmine rice"", ""coconut oil"", ""white onion"", ""salt"", ""fresh ginger"", ""garlic"", ""red bell pepper"", ""green bell pepper"", ""carrots"", ""red curry"", ""coconut milk"", ""coconut sugar"", ""soy sauce I"", ""rice vinegar"", ""red pepper""]"
Chickpea Beef Curry,"[""olive oil"", ""onions"", ""ginger"", ""garlic"", ""cumin seeds"", ""curry"", ""ground beef"", ""tomatoes"", ""sugar"", ""chickpeas"", ""lemon juice"", ""cilantro"", ""rice""]"
Nasi Lemak And Curry Chicken In America,"[""white rice"", ""water"", ""coconut milk"", ""bay leaves"", ""salt"", ""carrot"", ""water"", ""chicken thigh"", ""lemon grass mash"", ""garlic"", ""ginger mash"", ""soy sauce"", ""pepper"", ""bay leaves"", ""curry powder heap tbsp"", ""water curry"", ""peanut oil"", ""white onion"", ""rice wine"", ""coconut milk"", ""chicken consomme"", ""salt"", ""egg"", ""peanuts"", ""celery"", ""cilantro"", ""chili""]"
Singapore Curry,"[""rice"", ""butter"", ""flour"", ""liquid"", ""liquid"", ""curry powder"", ""salt"", ""turkey"", ""flaked coconut"", ""peanuts"", ""pineapple"", ""tomato""]"
Panang Chicken Curry,"[""peanut oil"", ""chicken breasts"", ""panang curry"", ""coconut milk"", ""fish sauce"", ""brown sugar"", ""lime leaves"", ""sugar snap peas"", ""snow peas"", ""cilantro"", ""peanuts"", ""red chili pepper"", ""lime wedges""]"
